id,name,category,measure,date,non_compliance
ARM,Armenia,Movement restrictions,Border closure,2020-03-23,Not applicable
ARM,Armenia,Public health measures,Introduction of quarantine policies,2020-03-24,Up to detention
ARM,Armenia,Public health measures,Introduction of quarantine policies,2020-03-31,Up to detention
ARM,Armenia,Movement restrictions,Domestic travel restrictions,2020-03-24,Up to detention
ARM,Armenia,Movement restrictions,Domestic travel restrictions,2020-03-24,Up to detention
ARM,Armenia,Public health measures,Introduction of quarantine policies,2020-03-24,Up to detention
ARM,Armenia,Movement restrictions,Visa restrictions,2020-03-23,Not available
AUS,Australia,Movement restrictions,Visa restrictions,2020-03-01,Not applicable
AUS,Australia,Public health measures,Introduction of quarantine policies,2020-03-01,Not available
AUS,Australia,Social distancing,Limit public gatherings,2020-03-13,Not available
AUS,Australia,Governance and socio-economic measures,Economic measures,2020-03-01,Not applicable
AUS,Australia,Public health measures,Strengthening the public health system,2020-03-12,Not applicable
AUS,Australia,Governance and socio-economic measures,Emergency administrative structures activated or established,2020-02-17,Not applicable
AUS,Australia,Public health measures,Awareness campaigns,2020-03-17,
AUS,Australia,Public health measures,Awareness campaigns,2020-03-20,
AUS,Australia,Governance and socio-economic measures,Economic measures,2020-03-20,
AUS,Australia,Public health measures,Introduction of quarantine policies,2020-03-18,
AUS,Australia,Movement restrictions,Border closure,2020-03-20,
AUS,Australia,Public health measures,Introduction of quarantine policies,2020-03-20,
AUS,Australia,Governance and socio-economic measures,Economic measures,2020-03-20,
AUS,Australia,Social distancing,Limit public gatherings,2020-03-20,
AUS,Australia,Governance and socio-economic measures,Emergency administrative structures activated or established,2020-03-20,
AUS,Australia,Social distancing,Changes in prison-related policies,2020-03-20,
AUS,Australia,Social distancing,Limit public gatherings,2020-03-20,
AUS,Australia,Social distancing,Public services closure,2020-03-22,Not available
AUS,Australia,Social distancing,Limit public gatherings,2020-03-22,Not available
AUS,Australia,Social distancing,Public services closure,2020-03-22,Not available
AUS,Australia,Social distancing,Schools closure,2020-03-22,Not applicable
AUS,Australia,Public health measures,General recommendations,2020-03-22,Not available
AUS,Australia,Governance and socio-economic measures,Economic measures,2020-03-22,Not applicable
AUS,Australia,Movement restrictions,Domestic travel restrictions,2020-03-22,Not available
AUS,Australia,Governance and socio-economic measures,Economic measures,2020-03-22,Not applicable
AUS,Australia,Governance and socio-economic measures,Economic measures,2020-03-22,Not applicable
AUS,Australia,Movement restrictions,Domestic travel restrictions,2020-03-25,Other (add in comments)
AUS,Australia,Movement restrictions,International flights suspension,2020-03-25,Not applicable
AUS,Australia,Social distancing,Public services closure,2020-03-25,Not applicable
AUS,Australia,Social distancing,Limit public gatherings,2020-03-25,Not applicable
AUS,Australia,Public health measures,General recommendations,2020-03-24,Not applicable
AUS,Australia,Public health measures,Strengthening the public health system,2020-03-25,Not applicable
AUS,Australia,Public health measures,Strengthening the public health system,2020-03-25,Not applicable
AUS,Australia,Public health measures,Testing policy,2020-03-25,Not applicable
AUS,Australia,Movement restrictions,Domestic travel restrictions,2020-03-24,Other (add in comments)
AUS,Australia,Public health measures,Testing policy,2020-03-26,Not applicable
AUS,Australia,Governance and socio-economic measures,Economic measures,2020-03-26,Not applicable
AUS,Australia,Public health measures,Introduction of quarantine policies,2020-03-28,Arrest/Detention
AUS,Australia,Movement restrictions,Surveillance and monitoring,2020-03-28,Not available
AUS,Australia,Social distancing,Limit public gatherings,2020-03-27,Fines
AUS,Australia,Public health measures,Introduction of quarantine policies,2020-03-27,Not available
AUS,Australia,Movement restrictions,Domestic travel restrictions,2020-04-01,Fines
AUS,Australia,Governance and socio-economic measures,Emergency administrative structures activated or established,2020-03-27,Not available
AUS,Australia,Public health measures,Strengthening the public health system,2020-03-29,Not applicable
AUS,Australia,Public health measures,Psychological assistance and medical social work,2020-03-25,Not applicable
AUS,Australia,Public health measures,Psychological assistance and medical social work,2020-03-25,Not applicable
AUS,Australia,Public health measures,Awareness campaigns,2020-03-26,Not applicable
AUS,Australia,Public health measures,Testing policy,2020-03-25,Not applicable
AUS,Australia,Governance and socio-economic measures,Economic measures,2020-04-02,Not applicable
AUS,Australia,Governance and socio-economic measures,Economic measures,2020-04-02,Not applicable
AUS,Australia,Social distancing,Limit public gatherings,2020-04-02,Not applicable
AUS,Australia,Governance and socio-economic measures,Economic measures,2020-03-31,Not applicable
AUS,Australia,Governance and socio-economic measures,Economic measures,2020-04-02,Not applicable
AUS,Australia,Governance and socio-economic measures,Economic measures,2020-03-29,Not applicable
AUS,Australia,Lockdown,Partial lockdown,2020-03-29,Fines
AUS,Australia,Public health measures,Awareness campaigns,2020-03-29,Not applicable
AUS,Australia,Public health measures,Strengthening the public health system,2020-04-06,Not applicable
AUS,Australia,Social distancing,Limit public gatherings,2020-03-31,Not applicable
AUS,Australia,Governance and socio-economic measures,Economic measures,2020-03-31,Not applicable
AUS,Australia,Movement restrictions,Border closure,2020-04-05,Not available
AUT,Austria,Lockdown,Partial lockdown,2020-03-16,Fines
AUT,Austria,Social distancing,Limit public gatherings,2020-03-16,Not applicable
AUT,Austria,Movement restrictions,Visa restrictions,2020-03-16,Not applicable
AUT,Austria,Social distancing,Schools closure,2020-03-16,Not applicable
AUT,Austria,Governance and socio-economic measures,Economic measures,2020-03-14,Not applicable
AUT,Austria,Movement restrictions,International flights suspension,2020-03-10,Not applicable
AUT,Austria,Social distancing,Limit public gatherings,2020-03-10,Not applicable
AUT,Austria,Movement restrictions,International flights suspension,2020-03-16,Not applicable
AUT,Austria,Movement restrictions,Border checks,2020-03-11,Not applicable
AUT,Austria,Public health measures,Introduction of quarantine policies,2020-03-13,Fines
AUT,Austria,Social distancing,Public services closure,2020-03-16,Not applicable
AUT,Austria,Public health measures,Introduction of quarantine policies,2020-03-17,Not available
AUT,Austria,Public health measures,Introduction of quarantine policies,2020-03-17,Not available
AUT,Austria,Public health measures,Introduction of quarantine policies,2020-03-17,Not available
AUT,Austria,Lockdown,Partial lockdown,2020-03-19,Fines
AUT,Austria,Public health measures,Introduction of quarantine policies,,Not available
AUT,Austria,Public health measures,Introduction of quarantine policies,,Not available
AUT,Austria,Governance and socio-economic measures,Economic measures,2020-03-18,Not applicable
AUT,Austria,Public health measures,Psychological assistance and medical social work,2020-03-17,Not applicable
AUT,Austria,Movement restrictions,Visa restrictions,2020-03-19,Fines
AUT,Austria,Public health measures,Testing policy,,not applicable
AUT,Austria,Governance and socio-economic measures,Economic measures,2020-03-30,Not applicable
AUT,Austria,Public health measures,Awareness campaigns,2020-03-27,
AUT,Austria,Public health measures,Strengthening the public health system,2020-03-21,Not applicable
AUT,Austria,Public health measures,Strengthening the public health system,2020-03-24,Not applicable
AUT,Austria,Governance and socio-economic measures,Military deployment,,Not applicable
AUT,Austria,Movement restrictions,Border checks,2020-03-19,Not applicable
AUT,Austria,Movement restrictions,Border checks,2020-03-14,Not applicable
AUT,Austria,Lockdown,Full lockdown,2020-03-22,Not applicable
AUT,Austria,Public health measures,Strengthening the public health system,2020-03-23,Not applicable
AUT,Austria,Movement restrictions,Additional health/documents requirements upon arrival,,Not applicable
AUT,Austria,Social distancing,Public services closure,2020-03-17,Not available
AUT,Austria,Social distancing,Limit public gatherings,2020-03-31,Not applicable
AUT,Austria,Public health measures,Strengthening the public health system,2020-04-03,Not applicable
AUT,Austria,Governance and socio-economic measures,Economic measures,2020-04-02,Not applicable
AUT,Austria,Governance and socio-economic measures,Economic measures,2020-04-01,Not applicable
AUT,Austria,Public health measures,Psychological assistance and medical social work,2020-03-28,Not applicable
AUT,Austria,Social distancing,Public services closure,2020-04-03,Not available
AUT,Austria,Governance and socio-economic measures,Economic measures,2020-04-03,Not applicable
AUT,Austria,Governance and socio-economic measures,Economic measures,2020-04-03,Not applicable
AUT,Austria,Governance and socio-economic measures,Economic measures,2020-04-01,Not applicable
AUT,Austria,Governance and socio-economic measures,Economic measures,2020-04-03,Not applicable
AUT,Austria,Governance and socio-economic measures,Economic measures,2020-03-28,Not applicable
AZE,Azerbaijan,Public health measures,Introduction of quarantine policies,2020-03-01,Not applicable
AZE,Azerbaijan,Movement restrictions,Visa restrictions,2020-03-01,Not applicable
AZE,Azerbaijan,Public health measures,Health screenings in airports and border crossings,2020-03-01,Not applicable
AZE,Azerbaijan,Movement restrictions,Border closure,2020-02-29,Not applicable
AZE,Azerbaijan,Social distancing,Schools closure,2020-03-01,Not applicable
AZE,Azerbaijan,Public health measures,Introduction of quarantine policies,,
AZE,Azerbaijan,Public health measures,Awareness campaigns,2020-03-09,
AZE,Azerbaijan,Movement restrictions,Border closure,,
AZE,Azerbaijan,Movement restrictions,International flights suspension,,
AZE,Azerbaijan,Movement restrictions,Visa restrictions,2020-03-12,
AZE,Azerbaijan,Movement restrictions,Border closure,2020-03-18,
AZE,Azerbaijan,Movement restrictions,Border closure,2020-03-14,
AZE,Azerbaijan,Movement restrictions,Border closure,2020-02-29,
AZE,Azerbaijan,Movement restrictions,Border closure,2020-03-14,
AZE,Azerbaijan,Public health measures,Health screenings in airports and border crossings,,
AZE,Azerbaijan,Social distancing,Limit public gatherings,,
AZE,Azerbaijan,Public health measures,Awareness campaigns,2020-03-19,
AZE,Azerbaijan,Governance and socio-economic measures,Economic measures,2020-03-19,
BHS,Bahamas,Movement restrictions,Visa restrictions,2020-03-07,Not applicable
BHS,Bahamas,Public health measures,Introduction of quarantine policies,2020-03-07,Not applicable
BHS,Bahamas,Social distancing,Limit public gatherings,2020-03-12,Not applicable
BHS,Bahamas,Public health measures,Awareness campaigns,2020-03-01,Not applicable
BHS,Bahamas,Public health measures,General recommendations,2020-01-22,
BHS,Bahamas,Public health measures,Strengthening the public health system,2020-01-28,
BHS,Bahamas,Public health measures,Introduction of quarantine policies,2020-02-02,
BHS,Bahamas,Public health measures,General recommendations,2020-03-02,
BHS,Bahamas,Governance and socio-economic measures,Economic measures,2020-03-11,
BHS,Bahamas,Movement restrictions,Border closure,2020-03-12,
BHS,Bahamas,Social distancing,Limit public gatherings,2020-03-13,
BHS,Bahamas,Social distancing,Public services closure,2020-03-15,
BHS,Bahamas,Social distancing,Schools closure,2020-03-16,
BHS,Bahamas,Public health measures,Awareness campaigns,2020-03-15,
BHS,Bahamas,Movement restrictions,Visa restrictions,2020-03-19,
BHS,Bahamas,Public health measures,Strengthening the public health system,2020-03-16,
BHS,Bahamas,Social distancing,Limit public gatherings,2020-03-16,
BHS,Bahamas,Movement restrictions,Visa restrictions,2020-03-19,
BHS,Bahamas,Public health measures,Introduction of quarantine policies,2020-03-16,
BHS,Bahamas,Public health measures,Strengthening the public health system,2020-03-16,
BHS,Bahamas,Public health measures,Health screenings in airports and border crossings,2020-03-16,
BHS,Bahamas,Public health measures,Awareness campaigns,2020-03-16,
BHS,Bahamas,Public health measures,General recommendations,2020-03-17,
BHS,Bahamas,Governance and socio-economic measures,Economic measures,2020-03-17,
BHS,Bahamas,Governance and socio-economic measures,Economic measures,2020-03-18,
BHS,Bahamas,Public health measures,Strengthening the public health system,2020-03-18,
BHS,Bahamas,Governance and socio-economic measures,Economic measures,2020-03-18,
BHS,Bahamas,Public health measures,General recommendations,2020-03-18,
BHS,Bahamas,Governance and socio-economic measures,Emergency administrative structures activated or established,2020-03-18,
BHS,Bahamas,Governance and socio-economic measures,Emergency administrative structures activated or established,2020-03-17,
BGD,Bangladesh,Public health measures,Introduction of quarantine policies,2020-03-08,Not applicable
BGD,Bangladesh,Movement restrictions,International flights suspension,2020-03-16,Not applicable
BGD,Bangladesh,Movement restrictions,Visa restrictions,2020-03-16,Not applicable
BLR,Belarus,Social distancing,Limit public gatherings,2020-03-14,Not applicable
BLR,Belarus,Public health measures,Health screenings in airports and border crossings,2020-03-13,Not applicable
BLR,Belarus,Movement restrictions,International flights suspension,2020-03-14,Not applicable
BLR,Belarus,Governance and socio-economic measures,Emergency administrative structures activated or established,2020-03-12,Not applicable
BLR,Belarus,Governance and socio-economic measures,Limit product imports/exports,2020-03-19,
BLR,Belarus,Public health measures,General recommendations,2020-03-20,
BLR,Belarus,Public health measures,Mass population testing,2020-03-18,
BLR,Belarus,Movement restrictions,Visa restrictions,2020-03-18,
BLR,Belarus,Public health measures,Health screenings in airports and border crossings,,
BLR,Belarus,Social distancing,Schools closure,,
BLR,Belarus,Public health measures,Introduction of quarantine policies,,
BEL,Belgium,Public health measures,Awareness campaigns,2020-02-01,Not applicable
BEL,Belgium,Governance and socio-economic measures,Emergency administrative structures activated or established,2020-03-12,Not applicable
BEL,Belgium,Social distancing,Schools closure,2020-03-13,Not applicable
BEL,Belgium,Social distancing,Limit public gatherings,2020-03-13,Not applicable
BEL,Belgium,Governance and socio-economic measures,Economic measures,2020-03-13,Not applicable
BEL,Belgium,Lockdown,Partial lockdown,2020-03-18,Not available
BEL,Belgium,Public health measures,General recommendations,2020-03-18,Not available
BEL,Belgium,Movement restrictions,Domestic travel restrictions,2020-03-18,Not applicable
BEL,Belgium,Public health measures,Strengthening the public health system,2020-03-12,Not applicable
BEL,Belgium,Public health measures,Strengthening the public health system,2020-03-20,Not applicable
BEL,Belgium,Governance and socio-economic measures,Economic measures,2020-03-20,Not applicable
BEL,Belgium,Public health measures,Strengthening the public health system,,Not applicable
BEL,Belgium,Social distancing,Public services closure,2020-03-24,Not available
BEL,Belgium,Public health measures,General recommendations,2020-03-24,Not applicable
BLZ,Belize,Public health measures,Health screenings in airports and border crossings,2020-03-11,Not applicable
BLZ,Belize,Movement restrictions,Border closure,2020-03-21,
BLZ,Belize,Movement restrictions,International flights suspension,2020-03-23,
BLZ,Belize,Social distancing,Limit public gatherings,2020-03-20,
BLZ,Belize,Movement restrictions,Visa restrictions,2020-03-15,
BLZ,Belize,Public health measures,General recommendations,2020-03-14,
BLZ,Belize,Public health measures,General recommendations,2020-03-11,
BLZ,Belize,Public health measures,Introduction of quarantine policies,2020-03-11,
BLZ,Belize,Social distancing,Schools closure,2020-03-16,
BLZ,Belize,Social distancing,Limit public gatherings,2020-03-16,
BLZ,Belize,Movement restrictions,Visa restrictions,2020-03-16,
BLZ,Belize,Movement restrictions,Border closure,2020-03-16,
BLZ,Belize,Governance and socio-economic measures,Economic measures,2020-03-16,
BLZ,Belize,Public health measures,Introduction of quarantine policies,2020-03-15,
BLZ,Belize,Public health measures,General recommendations,2020-03-15,
BLZ,Belize,Public health measures,Introduction of quarantine policies,2020-03-15,
BLZ,Belize,Public health measures,Introduction of quarantine policies,2020-03-13,
BLZ,Belize,Public health measures,General recommendations,2020-02-28,
BLZ,Belize,Public health measures,Strengthening the public health system,2020-02-25,
BLZ,Belize,Public health measures,Awareness campaigns,2020-01-23,
BLZ,Belize,Governance and socio-economic measures,Emergency administrative structures activated or established,,
BLZ,Belize,Public health measures,Awareness campaigns,2020-02-04,
BLZ,Belize,Movement restrictions,Visa restrictions,2020-02-08,
BEN,Benin,Public health measures,Introduction of quarantine policies,2020-03-03,Not available
BEN,Benin,Public health measures,Health screenings in airports and border crossings,2020-03-03,Not applicable
BEN,Benin,Movement restrictions,Border closure,2020-03-19,
BEN,Benin,Movement restrictions,Visa restrictions,2020-03-19,Refusal to enter the country
BEN,Benin,Public health measures,Introduction of quarantine policies,2020-03-19,Not applicable
BEN,Benin,Social distancing,Limit public gatherings,2020-03-19,Not available
BEN,Benin,Social distancing,Limit public gatherings,2020-03-19,Not applicable
BEN,Benin,Governance and socio-economic measures,Economic measures,2020-03-19,Not available
BEN,Benin,Lockdown,Partial lockdown,2020-03-30,Not available
BEN,Benin,Social distancing,Schools closure,2020-03-23,Not applicable
BEN,Benin,Movement restrictions,Visa restrictions,2020-03-17,Not applicable
BEN,Benin,Public health measures,Health screenings in airports and border crossings,2020-03-17,Not applicable
BEN,Benin,Governance and socio-economic measures,Military deployment,2020-03-30,Not available
BTN,Bhutan,Movement restrictions,Border closure,2020-03-06,
BTN,Bhutan,Movement restrictions,Domestic travel restrictions,2020-01-31,
BOL,Bolivia,Movement restrictions,International flights suspension,2020-03-14,Not applicable
BOL,Bolivia,Public health measures,Health screenings in airports and border crossings,2020-03-14,Not applicable
BOL,Bolivia,Social distancing,Limit public gatherings,2020-03-14,Not applicable
BOL,Bolivia,Movement restrictions,Border closure,2020-03-20,Not applicable
BOL,Bolivia,Movement restrictions,International flights suspension,2020-03-21,Not applicable
BOL,Bolivia,Movement restrictions,Domestic travel restrictions,2020-03-21,Not applicable
BOL,Bolivia,Movement restrictions,Curfews,2020-03-17,Fines
BOL,Bolivia,Lockdown,Partial lockdown,2020-03-16,Not available
BOL,Bolivia,Social distancing,Public services closure,2020-03-17,Not applicable
BOL,Bolivia,Social distancing,Limit public gatherings,2020-03-16,Not applicable
BOL,Bolivia,Lockdown,Partial lockdown,2020-03-26,Up to detention
BOL,Bolivia,Governance and socio-economic measures,Military deployment,2020-03-26,Up to detention
BOL,Bolivia,Social distancing,Limit public gatherings,2020-03-26,Up to detention
BOL,Bolivia,Movement restrictions,Curfews,2020-03-26,Up to detention
BOL,Bolivia,Governance and socio-economic measures,State of emergency declared,2020-03-17,Not available
BOL,Bolivia,Governance and socio-economic measures,Emergency administrative structures activated or established,2020-03-27,Not applicable
BOL,Bolivia,Governance and socio-economic measures,Economic measures,,
BOL,Bolivia,Governance and socio-economic measures,Economic measures,2020-04-03,Not applicable
BOL,Bolivia,Governance and socio-economic measures,Economic measures,2020-04-06,Not applicable
BOL,Bolivia,Lockdown,Partial lockdown,2020-03-26,Fines
BOL,Bolivia,Movement restrictions,Domestic travel restrictions,2020-03-27,Up to detention
BIH,Bosnia and Herzegovina,Public health measures,Introduction of quarantine policies,2020-03-12,Not available
